,HexSSP-0,HexSSP-1,HexSSP-2,HexSSP-3,HexSSP-4,HexSSP-5,HexSSP-6,HexSSP-7,HexSSP-8,HexSSP-9,HexSSP-10,HexSSP-11,HexSSP-12,HexSSP-13,HexSSP-14,HexSSP-15,HexSSP-16,HexSSP-17,HexSSP-18,HexSSP-19,Discrete_19-0,Discrete_19-1,Discrete_19-2,Discrete_19-3,Discrete_19-4,Discrete_19-5,Discrete_19-6,Discrete_19-7,Discrete_19-8,Discrete_19-9,Discrete_15-0,Discrete_15-1,Discrete_15-2,Discrete_15-3,Discrete_15-4,Discrete_15-5,Discrete_15-6,Discrete_15-7,Discrete_15-8,Discrete_15-9,Discrete_11-0,Discrete_11-1,Discrete_11-2,Discrete_11-3,Discrete_11-4,Discrete_11-5,Discrete_11-6,Discrete_11-7,Discrete_11-8,Discrete_11-9,Discrete_07-0,Discrete_07-1,Discrete_07-2,Discrete_07-3,Discrete_07-4,Discrete_07-5,Discrete_07-6,Discrete_07-7,Discrete_07-8,Discrete_07-9,Discrete_03-0,Discrete_03-1,Discrete_03-2,Discrete_03-3,Discrete_03-4,Discrete_03-5,Discrete_03-6,Discrete_03-7,Discrete_03-8,Discrete_03-9
0,9.0,17.0,10.0,11.0,12.0,10.0,14.0,11.0,10.0,18.0,35.0,19.0,10.0,12.0,23.0,10.0,20.0,14.0,19.0,10.0,10.0,14.0,8.0,9.0,10.0,10.0,11.0,9.0,12.0,15.0,10.0,12.0,9.0,16.0,13.0,10.0,15.0,9.0,11.0,26.0,9.0,16.0,11.0,14.0,14.0,9.0,12.0,16.0,10.0,18.0,10.0,15.0,10.0,29.0,10.0,9.0,30.0,9.0,14.0,23.0,18.0,15.0,21.0,19.0,15.0,10.0,10.0,18.0,9.0,17.0
1,10.0,16.0,13.0,15.0,12.0,10.0,8.0,9.0,9.0,65.0,31.0,13.0,11.0,18.0,9.0,13.0,22.0,13.0,10.0,10.0,9.0,14.0,9.0,10.0,11.0,9.0,8.0,20.0,12.0,13.0,9.0,11.0,13.0,32.0,19.0,12.0,21.0,24.0,15.0,15.0,10.0,21.0,21.0,13.0,16.0,12.0,11.0,16.0,26.0,48.0,8.0,13.0,33.0,9.0,11.0,10.0,10.0,26.0,11.0,10.0,10.0,11.0,13.0,12.0,12.0,19.0,13.0,14.0,13.0,14.0
2,10.0,17.0,12.0,9.0,11.0,12.0,10.0,9.0,10.0,27.0,38.0,14.0,9.0,11.0,72.0,9.0,16.0,9.0,16.0,9.0,10.0,52.0,11.0,10.0,10.0,11.0,13.0,25.0,16.0,29.0,9.0,11.0,13.0,18.0,18.0,15.0,20.0,34.0,42.0,14.0,16.0,11.0,28.0,12.0,12.0,16.0,12.0,12.0,11.0,30.0,9.0,12.0,35.0,27.0,12.0,13.0,15.0,12.0,10.0,14.0,21.0,20.0,17.0,25.0,15.0,10.0,13.0,10.0,17.0,15.0
3,8.0,16.0,10.0,11.0,10.0,11.0,9.0,10.0,11.0,43.0,41.0,12.0,9.0,12.0,95.0,15.0,26.0,11.0,13.0,11.0,9.0,16.0,9.0,10.0,11.0,12.0,16.0,15.0,16.0,20.0,12.0,27.0,14.0,19.0,14.0,17.0,39.0,15.0,11.0,13.0,14.0,12.0,14.0,12.0,14.0,12.0,14.0,12.0,11.0,16.0,10.0,14.0,14.0,37.0,28.0,9.0,15.0,26.0,9.0,9.0,10.0,10.0,14.0,16.0,11.0,16.0,11.0,17.0,15.0,17.0
4,11.0,12.0,9.0,11.0,9.0,9.0,11.0,8.0,10.0,29.0,49.0,14.0,13.0,22.0,71.0,12.0,18.0,10.0,10.0,10.0,11.0,49.0,11.0,10.0,14.0,10.0,11.0,16.0,12.0,38.0,11.0,61.0,10.0,11.0,23.0,16.0,10.0,10.0,34.0,26.0,14.0,12.0,26.0,16.0,15.0,24.0,12.0,13.0,26.0,12.0,9.0,11.0,53.0,16.0,11.0,11.0,12.0,10.0,9.0,12.0,14.0,33.0,21.0,13.0,11.0,11.0,21.0,12.0,48.0,12.0
5,12.0,19.0,9.0,14.0,11.0,10.0,19.0,9.0,10.0,25.0,26.0,19.0,10.0,13.0,98.0,10.0,22.0,10.0,14.0,11.0,11.0,12.0,9.0,13.0,9.0,11.0,17.0,45.0,19.0,25.0,10.0,12.0,16.0,15.0,14.0,18.0,14.0,13.0,37.0,8.0,13.0,57.0,48.0,20.0,18.0,13.0,19.0,10.0,12.0,60.0,11.0,29.0,10.0,10.0,18.0,11.0,39.0,11.0,12.0,10.0,18.0,14.0,11.0,15.0,15.0,19.0,12.0,11.0,11.0,11.0
6,10.0,15.0,11.0,12.0,11.0,8.0,13.0,8.0,12.0,33.0,39.0,11.0,11.0,13.0,128.0,13.0,28.0,13.0,14.0,9.0,12.0,28.0,11.0,14.0,8.0,10.0,15.0,12.0,31.0,31.0,13.0,30.0,35.0,14.0,10.0,16.0,15.0,17.0,14.0,15.0,22.0,45.0,25.0,12.0,8.0,15.0,16.0,11.0,9.0,13.0,10.0,57.0,78.0,11.0,10.0,13.0,15.0,16.0,17.0,11.0,30.0,14.0,10.0,48.0,11.0,14.0,24.0,16.0,17.0,11.0
7,10.0,14.0,10.0,13.0,10.0,11.0,11.0,11.0,9.0,29.0,43.0,11.0,16.0,13.0,89.0,12.0,30.0,11.0,17.0,10.0,9.0,10.0,11.0,10.0,9.0,20.0,11.0,18.0,67.0,13.0,11.0,18.0,28.0,23.0,14.0,15.0,18.0,13.0,38.0,13.0,18.0,11.0,27.0,14.0,15.0,11.0,17.0,10.0,14.0,13.0,12.0,14.0,50.0,20.0,10.0,10.0,13.0,32.0,12.0,12.0,35.0,10.0,14.0,17.0,10.0,14.0,33.0,11.0,19.0,15.0
8,9.0,19.0,19.0,10.0,9.0,11.0,9.0,9.0,17.0,39.0,30.0,14.0,11.0,14.0,67.0,9.0,15.0,12.0,12.0,11.0,12.0,24.0,13.0,12.0,13.0,13.0,22.0,15.0,75.0,31.0,15.0,14.0,42.0,11.0,19.0,21.0,22.0,10.0,19.0,16.0,26.0,39.0,32.0,23.0,11.0,12.0,16.0,13.0,12.0,13.0,11.0,12.0,43.0,33.0,13.0,12.0,26.0,19.0,10.0,9.0,13.0,10.0,10.0,14.0,15.0,9.0,17.0,14.0,10.0,18.0
9,11.0,15.0,11.0,12.0,12.0,12.0,13.0,9.0,8.0,27.0,37.0,12.0,9.0,17.0,60.0,11.0,23.0,9.0,15.0,10.0,12.0,33.0,12.0,32.0,8.0,13.0,14.0,19.0,40.0,35.0,8.0,13.0,12.0,12.0,11.0,15.0,15.0,16.0,26.0,29.0,17.0,10.0,14.0,17.0,9.0,13.0,13.0,13.0,13.0,22.0,10.0,37.0,11.0,53.0,10.0,10.0,37.0,30.0,10.0,11.0,19.0,11.0,21.0,10.0,13.0,8.0,9.0,11.0,13.0,10.0
