,seed,trials,steps,n_done,n_reset,env,env_dt,gifs,rep_,n_bins,normalize_state,length_scale,n_rotates,specify_encoder_samples,neuron_type,rule,eps,dynamic_epsilon,lr,act_dis,state_dis,n,lambd,learnTrials,state_neurons,active_prop,dimensionality,terminal_reward_learning,terminal_reward,episodes_to_learn,trial_ID,build_time,total_time,avg_trial_time
0,0,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,506,ACTrial#20230328-143456-e8d4f085,,,
1,1,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,229,ACTrial#20230328-143804-23f9b89e,,,
2,2,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,361,ACTrial#20230328-144357-c2035a51,,,
3,3,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,495.23,495.23,325,ACTrial#20230328-144930-5d7e914b,,,
4,4,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,573,ACTrial#20230328-145613-54b97be0,,,
5,5,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,382,ACTrial#20230328-150017-89ddf33d,,,
6,6,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,494.96,494.96,417,ACTrial#20230328-150340-5bbdbc0e,,,
7,7,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,500.0,500.0,532,ACTrial#20230328-150713-326248ba,,,
8,8,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,497.63,497.63,453,ACTrial#20230328-151046-cd5a6d57,,,
9,9,1000,500,1,1,CartPole-v1,0.001,False,PlaceSSP,100,False,0.5275789688744404,7,False,RectifiedLinear(),TD0,0.22158104224790157,True,0.195843172545971,0.9,0.99,None,None,1000,4096,0.24272798429374706,561,496.43,496.43,474,ACTrial#20230328-151435-e341ded9,,,
